ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Add columns here,Add columns here,Add columns here,Reviewer,Review
42-1,21/03/23 03:57:30,https://twitter.com/Samuel54003886/status/1599663601270521856,42,"Malimban, Janilyn",REDT,Gabriela partylist is a front of the terrorist group CPP-NPA,gabriela npa,@Samuel54003886,Samuel,"""I hate when people confuse EDUCATION & INTELLIGENCE. You can have a bachelor's degree and still be an idiot."" - Elon Musk",Anonymous,02/22,939,523,,"""Ang paniniwalang magiging mapait ang pagsuko ng mga rebeldeng NPA sa kamay ng mga sundalo ay taliwas sa karanasan ni Zena o mas kilalang Ka Lelay nang sumuko sa awtoridad. ..."" 
mga namention nya.. ""Migrante, Colmenares, Gabriela, Kabataan Party List""
youtube.com/watch?v=iY2nYK… https://t.co/y4dJBbAHfc

{Alt-text image: screenshot of a facebook post from Kalinaw News about the statement of Zena Punada Segui aka Ka Lelay}",,"Text, Image, URL",05/12/22 15:14,https://drive.google.com/file/d/1RS6CLvO-FqPflBahM5dkXIz69Yl2z2aV/view?usp=share_link,Rational,3,0,1,1,,,"The first part of the tweet is about Ka Lelay's experience after surrendering to the authorities as an NPA member. After her statement, the tweet also lists some personalities and organizations she mentioned which implies their involvement to the NPA. In the full statement from the youtube link attached to the tweet, Ka Lelay says that there were people from Gabriela Cavite who attended the Intermediate Party Course by the NPA.

GWP is not a recruiter for the CPP-NPA-NDF

[https://www.altermidya.net/hindi-totoo-gabriela-womens-party-rekruter-ng-cpp-npa-ndf/]",This tweet has a youtube link which redirects to Ka Lelay's interview with Kalinaw Digital (same news agency who posted the scoop from the tweet's photo),,,,,
42-2,22/03/23 04:51:58,https://twitter.com/ANGBAYANKO3/status/1599321753486249985,42,"Malimban, Janilyn",REDT,Gabriela partylist is a front of the terrorist group CPP-NPA,gabriela npa,@ANGBAYANKO3,ANG BAYAN KO,tunay na makabayan ay lumalaban sa mapanlinlang,Anonymous,10/22,45,46,,"@RDA47338427 @GilbertM102405 @binimarcia @chiefnchef @dianalook4yaho1 @humboldt_rex @deathmagnetic24 @Komradsky @RocafortElmer52 @T_P_S_H @HLingayan @LakanPintado sino msy sabi sayo na redbtagging si badoy? hindi rrd tagging ang pagsasabi na ang CPP NPA NDF ay iisa lang at si JOMA DEMONYO ang nagsabi nyan. HINDI KAMI BOBO ALAM NAMIN NA ANG BAYAN,GABRIELA, ACT, LFS, KABATAAN ATBP AY MGA KASAPI NG TERORISTANG NPA katulad nyan https://t.co/7xma3XoTBs

{Alt-text image: A photogrid of New People's Army (NPA) leader Ericson Acosta}",,"Text, Image, Reply",04/12/22 16:36,https://drive.google.com/file/d/1LzHI9nmGd75RZCIeHsg9OyiL31azgxGw/view?usp=share_link,Emotional,2,0,1,0,,,"There is a lack of sufficient evidence that links the GWP to the CPP-NPA-NDF. In fact, there is still no court in the Philippines which has rendered a decision regarding the charges against GWP and their involvement with the CPP-NPA-NDF despite the allegations they face for years.

[https://www.altermidya.net/hindi-totoo-gabriela-womens-party-rekruter-ng-cpp-npa-ndf/]",This tweet is a reply to a conversation,,,,,
42-3,21/03/23 06:29:18,https://twitter.com/ka_npa/status/1597220154987118592,42,"Malimban, Janilyn",REDT,Gabriela partylist is a front of the terrorist group CPP-NPA,gabriela npa,@ka_npa,NPA KA,"JOMA, the founding father",Anonymous,10/22,21,7,The Netherlands,"@NNARAYouth Makibaka para matigil ang TERRORISTANG CPP NPA NDF at ang mga Urban operatives nito kagaya ng LFS, Karapatan, Bayan Muna, Gabriela at iba pa. Hwag magpaloko.",,"Text, Reply",28/11/22 21:25,https://drive.google.com/file/d/1FqCyUa4IU5PZ407tU00vlJncWNiMLEwB/view?usp=share_link,Emotional,0,0,0,0,,,"There is a lack of sufficient evidence that links the GWP to the CPP-NPA-NDF. In fact, there is still no court in the Philippines which has rendered a decision regarding the charges against GWP and their involvement with the CPP-NPA-NDF despite the allegations they face for years.

[https://www.altermidya.net/hindi-totoo-gabriela-womens-party-rekruter-ng-cpp-npa-ndf/]",This tweet is a reply to a conversation,,,,,
42-4,21/03/23 22:06:28,https://twitter.com/BasarteDiaz/status/1314879820904316928,42,"Macahilig, Hanz",REDT,Gabriela partylist is a front of the terrorist group CPP-NPA,gabriela npa,@BasarteDiaz,Senior Herudes,"Electrical Engineer
Proud DDS
Duterte Delicious Supporter",Identified,03/20,194,44,,"Arlene Brosas ng Gabriela. Isa sa mataas na lider ng CPP NPA. Tigilan mo kami sa kadramahan mo. Ayaw nyo pang umamin na mga terrorista kayo, at nagkukunyari lang kayo na nagsisilbi sa bayan.",,"Text, Reply",10/10/20 18:45,https://drive.google.com/file/d/11J-d7xsQ-C21RMvnELP8JXXFwQZ9UyLA/view?usp=share_link,Emotional,0,0,0,0,,,"There is no such story stating that Arlene Brosas is CPP-NDA-NDF member. An INQUIRER.net report is said to report thatn Arlene Brosas is positive to be a member of the organization, but INQUIRER.net confirms that this is not true. A meme used a manipulated screenshot of the actual report on Brosas testing positive for COVID-19. The INQUIRER.net report is actually entitled, “Gabriela Partylist Rep. Arlene Brosas tests positive for COVID-19.” It does not make any mention of the CPP-NPA-NDF. 

[https://www.rappler.com/newsbreak/fact-check/news-report-confirms-arlene-brosas-cpp-npa-ndf-member/]",This tweet is a reply to a conversation,,,,,
42-5,21/03/23 22:58:08,https://twitter.com/TruPinoy905/status/1319977600274567168,42,"Macahilig, Hanz",REDT,Gabriela partylist is a front of the terrorist group CPP-NPA,gabriela npa,@TruPinoy905,Mic,,Anonymous,10/15,250,127,,"Nakabaon sa mga sangay ng ating gobyerno ang mga NPA, Congress, Senate, at iba pa lalo na sa mga MAIN STREAM MEDIA TV STATIONS AT MGA RADIO. Mga magulang, satin natin uumpisahan, pagtuonan at subaybayan ang ating mga anak na wag marikrut ng Gabriela at ibang front ng NPA",,"Text, Reply",24/10/20 20:22,https://drive.google.com/file/d/1epab9W7x0v9zfiZE_C441BxzNTepUvQ8/view?usp=share_link,Rational,0,0,0,0,,,"There is a lack of sufficient evidence that links the GWP to the CPP-NPA-NDF. In fact, there is still no court in the Philippines which has rendered a decision regarding the charges against GWP and their involvement with the CPP-NPA-NDF despite the allegations they face for years.

[https://www.altermidya.net/hindi-totoo-gabriela-womens-party-rekruter-ng-cpp-npa-ndf/]",,,,,,
42-6,21/03/23 23:11:15,https://twitter.com/Sayke1994/status/1316398224182185985,42,"Macahilig, Hanz",REDT,Gabriela partylist is a front of the terrorist group CPP-NPA,gabriela npa,@Sayke1994,Cuzh Beish,,Anonymous,12/14,48,1,,"recruiting daw gabriela. ui mga pabibong pawoke join na, baril barilan with NPA. bat ayaw nyu sumali? ayaw nyo ma-dedo pero okay lang kayo pag yung iba sumali at namatay? taenang mga pa woke puro kdrama alam 

#BoycottLizaSoberano",,Text,14/10/20 23:19,https://drive.google.com/file/d/18anZgjqOMkhbiuA8sXcQky2o8HBPuq87/view?usp=share_link,Emotional,1,1,1,0,,,"There is a lack of sufficient evidence that links the GWP to the CPP-NPA-NDF. In fact, there is still no court in the Philippines which has rendered a decision regarding the charges against GWP and their involvement with the CPP-NPA-NDF despite the allegations they face for years.

[https://www.altermidya.net/hindi-totoo-gabriela-womens-party-rekruter-ng-cpp-npa-ndf/]",,,,,,
42-7,21/03/23 23:12:29,https://twitter.com/AnoraTv/status/1584905557064155137,42,"Razal, Cassandra",REDT,Gabriela partylist is a front of the terrorist group CPP-NPA,gabriela npa,@AnoraTv,Frencil Anora TV,,Anonymous,04/21,7,5,,"@Richeydarian Horrors of dictatorship is far more mild than the horrible atrocities of the CPP NPA NDF being paved way by the front organizations. Like Kabataan Party Lists, Gabriela , ACT Teachers Party List. Represented by the tentac lol es of JOMA. Defended by bias media and journo like you",,"Text, Reply",25/10/22 21:51,https://drive.google.com/file/d/1OZWwNYoyIq3Kx2OSO61Gf1arMvxW5gBs/view?usp=share_link,Emotional,2,0,1,0,,,"There is a lack of sufficient evidence that links the GWP to the CPP-NPA-NDF. In fact, there is still no court in the Philippines which has rendered a decision regarding the charges against GWP and their involvement with the CPP-NPA-NDF despite the allegations they face for years.

[https://www.altermidya.net/hindi-totoo-gabriela-womens-party-rekruter-ng-cpp-npa-ndf/]",This tweet is a direct reply to another user.,,,,,
42-8,21/03/23 23:25:46,https://twitter.com/ANGBAYANKO3/status/1584546930209628160,42,"Razal, Cassandra",REDT,Gabriela partylist is a front of the terrorist group CPP-NPA,gabriela npa,@ANGBAYANKO3,ANG BAYAN KO,tunay na makabayan ay lumalaban sa mapanlinlang,Anonymous,10/22,45,46,,"@smninews Eto ginawa nila sa ating mga katutubo
No to CPP NPA NDF nag PARTYLIST under NDF like BAYAN, GABRIELA, KABATAAN, ACT at marami pang iba.  
Salot sa bayan anay sa lipunan https://t.co/TQp84FfAJs

{Alt-text image: Collage of children ""activists"", a child interacting with a Bagong Hukbong Bayan flag, and a child holding gun}",,"Text, Image",24/10/22 22:06,https://drive.google.com/file/d/1O1rvzTGFnDuTz31F8X1H2kAiiHQgpFrT/view?usp=share_link,Emotional,0,0,0,0,,,"There is a lack of sufficient evidence that links the GWP to the CPP-NPA-NDF. In fact, there is still no court in the Philippines which has rendered a decision regarding the charges against GWP and their involvement with the CPP-NPA-NDF despite the allegations they face for years.

[https://www.altermidya.net/hindi-totoo-gabriela-womens-party-rekruter-ng-cpp-npa-ndf/]",This tweet is a reply to a thread.,,,,,
42-9,21/03/23 23:36:46,https://twitter.com/v1n7z/status/1582730708585689088,42,"Razal, Cassandra",REDT,Gabriela partylist is a front of the terrorist group CPP-NPA,gabriela npa,@v1n7z,𝙫𝙞𝙣𝙣𝙮 金凯文 🇵🇭🇳🇴 ,5ft 5in • IT • Dump • Opinionated • Pragmatist • Geopolitics • Cats • Foodie • Versa Top • Anti-woke SJWs • Not for the faint of heart • Follow at your own risk,Identified,08/09,392,1918,None of your f*ing business,"Kabataan Partylist, ACT Partylist, Bayan Muna, Anakpawis Partylist and Gabriela are CPP-NPA-NDF's front organization. https://t.co/yurrxHfLjF

{Alt-text image: Screenshot of Sarah Elago's tweet which says ""Trans women are women.""}",,"Text, Image",19/10/22 21:49,https://drive.google.com/file/d/1xxEsFYrHK_O3V8nIItcDoTbsfq5i-keu/view?usp=sharing,Rational,4,0,2,0,,,"There is a lack of sufficient evidence that links the GWP to the CPP-NPA-NDF. In fact, there is still no court in the Philippines which has rendered a decision regarding the charges against GWP and their involvement with the CPP-NPA-NDF despite the allegations they face for years.

[https://www.altermidya.net/hindi-totoo-gabriela-womens-party-rekruter-ng-cpp-npa-ndf/]",,,,,,
42-10,21/03/23 23:46:05,https://twitter.com/jg17708/status/1581668522656116737,42,"Razal, Cassandra",REDT,Gabriela partylist is a front of the terrorist group CPP-NPA,gabriela npa,@jg17708,Sweet Maldita,,Anonymous,04/10,186,197,,"Burahin sa Kongreso ang KAGAT (Kabataan+Gabriela+Act), in league sa CPP-NPA-NDF (mga demonyo) ang mga yan. https://t.co/yoaNMB3kL7

{Alt-text image: Image of Raoul Manuel, the Kabataan Partylist Chairperson. In the image is the following text: ""Kabataan Partylist ayaw sa mandatory ROTC pero kabataan nirerekrut para maging NPA. Huwag magpalinglang! #CPPNPANDFSalotSaLipunan""}",,"Text, Image",16/10/22 23:28,https://drive.google.com/file/d/1td8bX_ROYbr3SvO741vGrOUM6WRlxoHG/view?usp=share_link,Rational,0,0,0,0,,,"There is a lack of sufficient evidence that links the GWP to the CPP-NPA-NDF. In fact, there is still no court in the Philippines which has rendered a decision regarding the charges against GWP and their involvement with the CPP-NPA-NDF despite the allegations they face for years.

[https://www.altermidya.net/hindi-totoo-gabriela-womens-party-rekruter-ng-cpp-npa-ndf/]",,,,,,
42-11,21/03/23 23:56:44,https://twitter.com/FrogmanRiverine/status/1362005489324711940,42,"Macahilig, Hanz",REDT,Gabriela partylist is a front of the terrorist group CPP-NPA,gabriela npa,@FrogmanRiverine,Frogman Riverine,Elite Forces of the Philippine Army,Anonymous,02/21,10,2,,"At the university you belong to you will not be immediately recruited to become an armed NPA, you will first be referred to legitimate organizations namely; GABRIELA, SAMASA, ANAKBAYAN,  KARAPATAN, KABATAAN PARTYLIST, KABATAANG MAKABAYAN, LFS, College Editors Guild of the Phils.",,"Text, Image",02/17/21 19:46,https://drive.google.com/file/d/1CVJpN4U-ykibcR4P48G31poP7eR_Mozx/view?usp=share_link,Rational,0,0,0,0,,,"There is a lack of sufficient evidence that links the GWP to the CPP-NPA-NDF. In fact, there is still no court in the Philippines which has rendered a decision regarding the charges against GWP and their involvement with the CPP-NPA-NDF despite the allegations they face for years.

[https://www.altermidya.net/hindi-totoo-gabriela-womens-party-rekruter-ng-cpp-npa-ndf/]",,,,,,
42-12,21/03/23 23:58:50,https://twitter.com/mdonbizm/status/1572435374210949121,42,"Razal, Cassandra",REDT,Gabriela partylist is a front of the terrorist group CPP-NPA,gabriela npa,@mdonbizm,Martee,“We are more often frightened than hurt; and we suffer more in imagination than in reality.”,Anonymous,08/21,466,24,,"@LilaBear20 @KUglyton @GabrielaWomenPL Well you said it, the issue is Gabriela is backed by communist/npa. It’s very true. It came from the horse’s mouth, the man, the legend - Joma Sison.  😍😍😍😍

Here’s the link for your enjoyment: 😘😘😘
youtu.be/ZuJLwFX0bTU",,"Text, URL",21/09/22 11:59,https://drive.google.com/file/d/1dHGoG8oZOPFjbuEPzCNel3CHrPE5aP14/view?usp=share_link,Rational,0,0,0,0,,,"The video of Joma Sison stating that Gabriela is a front for CPP is actually a spliced video from an interview of Sison in 1988. In the interview, it was clear that he mentioned Gabriela as a legal, mass organization.

[https://www.tsek.ph/totoo-o-hindi-inamin-mismo-ni-jose-maria-sison-na-kasapi-ng-communist-party-of-the-philippines-cpp-ang-mga-partylist-ng-bagong-alyansang-makabayan-bayan/]",This tweet is a reply to a conversation.,,,,,
